seed,best_score
123,3275
140,3763
157,4189
174,3178
191,4417
208,4107
225,3930
242,3972
259,3606
276,3549
293,3893
310,4147
327,4234
344,3727
361,3783
378,3491
395,3711
412,3577
429,3833
446,4179
463,3799
480,3795
497,3502
514,4017
531,3589
548,4153
565,3365
582,3832
599,4061
616,3847
633,3739
650,4139
667,4381
684,3877
701,3578
718,4160
735,4207
752,4205
769,4125
786,3514
803,3689
820,3284
837,4018
854,4024
871,3856
888,3856
905,3682
922,3783
939,3676
956,4174
973,3823
990,4138
1007,4000
1024,4038
1041,3539
1058,3943
1075,3716
1092,3987
1109,3892
1126,4462
1143,3332
1160,3901
1177,3377
1194,4059
1211,3814
1228,3587
1245,3549
1262,3540
1279,3817
1296,3721
1313,3849
1330,4239
1347,3922
1364,3190
1381,4051
1398,4281
1415,3915
1432,3979
1449,4437
1466,3881
1483,3741
1500,4462
1517,3593
1534,3717
1551,3933
1568,3760
1585,4267
1602,3999
1619,3709
1636,3505
1653,3935
1670,3825
1687,3728
1704,3739
1721,4064
1738,3768
1755,3342
1772,4060
1789,4293
1806,3648
1823,3403
1840,4053
1857,3545
1874,3891
1891,3650
1908,4077
1925,3883
1942,3467
1959,4139
1976,3701
1993,3703
2010,4012
2027,4350
2044,3950
2061,3891
2078,3768
2095,3510
2112,3828
2129,4026
2146,4254
2163,3394
2180,4054
2197,3455
2214,4453
2231,4178
2248,3997
2265,4006
2282,3923
2299,4162
2316,4376
2333,4325
2350,4203
2367,3239
2384,3727
2401,3698
2418,4082
2435,3431
2452,3536
2469,3658
2486,3946
2503,3918
2520,3777
2537,3361
2554,3494
2571,4129
2588,4140
2605,3610
2622,3737
2639,3573
2656,4232
2673,3990
2690,3968
2707,3847
2724,3613
2741,3821
2758,4069
2775,3445
2792,4439
2809,3930
2826,3998
2843,4011
2860,3614
2877,4179
2894,4142
2911,3848
2928,3857
2945,3758
2962,3526
2979,3382
2996,3965
3013,4231
3030,3900
3047,3655
3064,3659
3081,3823
3098,4203
3115,3751
3132,3595
3149,3923
3166,3676
