seed,best_score
3183,3698
3200,3969
3217,4055
3234,4353
3251,4108
3268,4096
3285,3531
3302,4189
3319,3937
3336,3866
3353,3779
3370,4033
3387,3999
3404,3731
3421,3822
3438,3602
3455,3702
3472,3716
3489,3980
3506,3970
3523,4354
3540,3945
3557,3667
3574,3770
3591,3969
3608,3723
3625,3886
3642,3299
3659,3714
3676,3598
3693,3789
3710,3087
3727,3978
3744,3486
3761,4152
3778,3526
3795,3623
3812,3486
3829,3740
3846,3473
3863,3905
3880,4284
3897,3510
3914,4075
3931,3641
3948,3902
3965,3602
3982,4275
3999,3575
4016,4156
4033,3939
4050,4128
4067,3588
4084,3148
4101,3994
4118,4515
4135,3519
4152,3363
4169,4040
4186,3897
4203,4206
4220,4403
4237,3796
4254,4225
4271,3784
4288,3706
4305,4058
4322,3819
4339,3619
4356,3696
4373,3634
4390,3878
4407,4003
4424,3672
4441,4266
4458,3747
4475,3626
4492,3698
4509,3975
4526,3479
4543,3955
4560,3680
4577,3402
4594,3203
4611,3367
4628,3564
4645,4007
4662,3621
4679,3791
4696,3792
4713,3880
4730,3637
4747,3949
4764,4033
4781,3509
4798,4241
4815,3680
4832,3498
4849,3960
4866,4014
4883,3456
4900,3891
4917,3702
4934,3959
4951,3910
4968,3491
4985,3616
5002,4091
5019,4035
5036,3946
5053,3748
5070,3672
5087,3506
5104,3730
5121,4045
5138,3912
5155,3806
5172,3805
5189,3939
5206,3744
5223,3960
5240,4186
5257,3365
5274,4334
5291,4039
5308,3970
5325,4421
5342,3347
5359,4086
5376,3306
5393,3424
5410,3365
5427,3675
5444,4057
5461,4180
5478,3364
5495,3615
5512,4050
5529,3907
5546,4045
5563,3797
5580,3658
5597,3842
5614,3934
5631,4196
5648,3860
5665,3767
5682,4439
5699,4128
5716,3426
5733,3953
5750,3640
5767,3602
5784,3815
5801,3590
5818,3587
5835,3941
5852,3683
5869,3739
5886,4709
5903,4305
5920,3752
5937,3651
5954,3521
5971,3995
5988,3680
6005,4229
6022,4003
6039,3451
6056,3674
6073,3868
6090,3843
6107,4316
6124,4048
6141,3333
6158,3486
6175,3772
6192,3753
6209,3634
6226,3863
6243,3949
6260,3980
6277,3657
6294,4189
6311,4026
6328,4298
6345,3626
6362,4298
6379,3825
6396,3621
6413,3790
6430,4022
6447,3982
6464,3750
6481,4026
6498,3659
6515,3862
6532,3485
6549,4168
6566,3863
6583,3864
6600,3869
6617,4081
6634,4078
6651,4148
6668,3985
6685,3427
6702,4284
6719,4022
6736,3666
6753,3744
6770,3747
6787,4027
6804,3889
6821,3654
6838,3800
6855,3591
6872,4189
6889,4165
6906,3816
6923,4292
6940,3701
6957,3442
6974,3644
6991,4406
7008,3720
7025,4135
7042,3907
7059,3526
7076,3900
7093,3835
7110,3831
7127,3790
7144,4108
7161,4346
7178,3562
7195,3907
7212,4097
7229,3515
7246,4057
7263,3870
7280,3640
7297,3788
7314,4370
7331,3414
7348,3437
7365,3935
7382,4149
7399,4021
7416,4101
7433,4361
7450,3664
7467,3684
7484,4312
7501,3240
7518,3608
7535,3720
7552,3665
7569,4390
7586,3560
7603,3891
7620,3868
7637,3542
7654,3618
7671,4028
7688,4436
7705,4087
7722,3493
7739,3312
7756,3807
7773,3651
7790,4016
7807,4091
7824,4037
7841,3759
7858,3583
7875,3688
7892,3725
7909,3890
7926,4010
7943,3764
7960,4605
7977,3885
7994,3441
8011,3942
8028,3890
8045,4020
8062,3584
8079,3366
8096,3674
8113,3864
8130,3544
8147,3800
8164,3787
8181,3865
8198,3973
8215,4045
8232,3575
8249,3767
8266,3776
8283,3557
8300,3367
8317,3879
8334,3734
8351,4401
8368,4046
8385,3452
8402,3981
8419,4468
8436,3827
8453,3571
8470,3715
8487,4053
8504,3390
8521,3885
8538,3268
8555,4088
8572,3829
8589,4170
8606,4096
