seed,best_score
124,4282
141,4926
158,4085
192,4729
226,4757
260,4125
277,4709
311,4615
328,4848
345,5022
362,4539
379,4652
413,4401
430,4505
447,4698
464,4099
481,4450
498,3962
515,4440
532,4543
549,4381
566,4318
583,4433
600,4779
651,4611
685,4460
702,4571
719,4335
753,4730
770,4276
787,4613
804,4548
821,4838
838,4579
872,4407
889,4328
940,4057
957,4601
974,4010
991,4590
1025,4337
1042,4835
1059,4286
1093,4715
1110,4562
1127,3998
1144,4685
1161,4223
1178,4927
1195,4611
1212,4182
1229,4772
1246,4398
1263,4411
1280,4714
1297,4562
1314,4238
1331,4204
1348,4352
1365,4610
1382,4817
1399,4661
1416,4417
1433,4476
1450,4588
1484,4546
1501,4624
1518,4904
1535,4690
1552,4292
1569,4508
1586,4218
1603,4302
1620,4418
1637,4639
1654,4374
1671,4711
1688,5281
1722,4713
1739,4590
1773,4341
1790,4289
1807,4527
1824,4445
1858,4333
1875,4599
1892,4379
1909,4683
1926,4617
1943,4801
1960,4689
1977,4793
1994,4475
2011,4953
2028,4647
2045,4650
2079,4685
2096,4492
2113,4289
2130,4480
2147,4939
2164,5161
2181,4818
2198,4290
2232,4687
2249,4577
2266,4441
2283,4547
2300,4812
2334,4307
2351,4443
2368,4367
2385,4396
2402,4890
2419,4513
2436,4603
2453,4812
2470,4974
2487,4624
2521,4637
2538,4657
2555,4644
2572,4423
2589,5033
2606,4459
2623,4782
2640,4611
2657,4690
2674,4646
2691,4488
2708,4341
2725,4218
2742,4684
2759,4260
2776,5405
2793,4479
2810,4437
2844,4397
2861,4254
2878,4899
2895,4436
2912,5024
2946,4592
2963,4427
2980,4517
2997,4505
3031,5007
3065,4535
3082,4755
3099,4596
3150,4409
3167,4193
3184,4253
3201,4036
3218,4613
3252,4765
3269,4214
3286,4761
3303,4200
3320,4429
3337,4545
3371,4132
3388,4455
3405,4251
3422,4362
3439,4394
3473,4405
3490,4300
3507,4034
3524,4296
3541,4841
3558,4160
3575,4501
3626,4632
3660,4305
3694,4378
3711,4322
3728,4503
3745,4707
3762,4246
3779,4363
3813,4265
3830,4296
3847,4818
3881,4521
3915,4391
3932,4600
3949,4300
3966,4838
3983,4382
4017,4792
4051,4719
4068,4059
4085,4654
4102,4560
4153,4728
4170,4745
4187,4951
4238,4593
4255,4878
4272,4534
4289,4652
4306,4198
4323,4395
4340,4640
4357,4516
4374,4395
4391,4442
4425,4303
4442,4835
4459,4197
4476,4680
4493,4338
4510,4600
4527,4320
4544,4419
4561,4514
4578,4546
4595,4393
4612,4051
4629,4516
4646,4849
4663,4431
4697,4852
4714,4367
4731,4607
4748,4543
4765,4148
4782,4545
4799,4837
4816,4439
4833,4572
4850,4583
4867,4600
4884,4732
4901,4511
4918,4572
4935,4823
4952,4154
4969,4677
4986,4791
5020,4207
5054,4415
5071,4984
5122,4587
5139,4050
5156,4834
5173,5106
5190,3853
5207,4723
5224,4786
5241,4849
5258,4987
5275,4497
5292,4615
5343,5037
5360,4577
5377,4594
5394,4735
5411,4669
5428,4888
5445,4435
5462,4540
5479,4343
5496,4255
5513,4838
5530,4467
5547,4552
5564,4702
5581,4508
5615,4495
5632,4084
5649,4320
5666,4784
5717,4856
5751,4534
5768,4758
5802,5007
5819,4221
5836,4693
5887,4927
5904,4488
5921,4378
5938,4702
5955,4329
5972,4092
5989,4884
6006,4374
6040,4606
6057,4572
6074,4215
6091,4783
6108,4592
6142,5076
6159,4885
6176,4553
6193,4465
6210,4974
6227,4389
6244,4656
6261,4688
6278,4391
6295,3881
6329,4106
6346,5090
6380,5145
6397,4729
6431,4644
6448,4412
6465,4907
6482,4582
6499,4430
6567,4721
6584,4449
6601,4664
6618,4322
6635,4173
6652,4759
6669,4119
6686,4529
6703,4448
6737,5021
6754,5222
6771,5104
6788,4679
6805,4358
6822,4803
6839,4157
6856,4623
6941,4167
6958,4424
6975,4611
6992,4248
7009,4284
7026,4586
7043,4472
7060,4486
7077,4421
7094,4597
7111,4522
7128,4431
7145,4562
7162,5047
7179,4615
7196,4778
7213,3895
7230,4561
7281,4847
7298,4416
7332,4960
7349,4946
7366,4475
7383,4381
7400,4118
7417,4595
7434,4905
7468,4404
7485,4438
7502,4979
7519,4498
7536,4663
7553,4110
7570,4744
7604,4863
7621,5117
7638,4605
7655,4728
7672,4556
7706,4960
7723,4548
7740,4421
7757,4483
7774,4174
7791,4418
7808,4341
7825,4815
7842,4699
7859,4530
7876,4477
7893,4171
7927,4682
7944,5005
7978,5177
7995,4493
8012,5193
8029,4617
8046,4621
8063,4407
8080,5281
8097,4387
8114,4706
8131,4446
8148,4373
8182,4628
8199,5171
8233,4465
8250,4403
8267,4533
8284,4631
8301,3801
8318,4936
8335,4459
8352,4244
8369,4656
8386,4293
8403,4039
8420,4541
8437,4784
8454,4896
8471,4514
8488,4504
8505,4457
8522,4360
8539,4800
8556,4308
8573,4393
8590,4229
